KVA,Load_percent,Ia,Ib,Ic,In,UB_percent,Min_V,Max_dis,Load_peak,Ia_PEAK,Ib_PEAK,Ic_PEAK,UB_PEAK_percent,Min_V_peak,Copper_Loss,Core_Loss,Line_Loss,Copper_Loss_PEAK,Core_Loss_PEAK,Line_Loss_PEAK
160,5.62,15.05,14.06,9.83,4.8,24.26810478,230.21,303.4,6.13,15.82,15.21,11.43,19.24163919,230.24,4,187,5,5,193,6
160,13.21,40.62,19.92,31,17.92,34.71706358,229.85,227.08,15.07,46.47,22.27,35.73,36.0486264,229.7,23,187,22,29,193,29
50,5.77,6,4.72,1.77,3.76,57.48598879,230.78,62.77,7.25,4.71,3.81,7.17,37.09369025,230.83,2,79,1,2,79,1
50,12.27,21.19,2.06,2.06,19.13,151.1655472,239.88,720.25,23.29,40.46,3.79,3.8,152.6118626,235.61,8,79,19,32,79,95
50,23.58,46.96,0.84,0.84,46.12,189.6381579,224.88,1082.68,34.39,68.35,1.31,1.31,188.9248978,218.86,31,79,217,72,79,402
50,5.81,7.12,4.84,0.62,5.72,85.21462639,230.49,137.99,6.36,6.66,6.14,0.98,78.66473149,230.35,2,79,1,2,82,2
50,28.22,20.06,25.8,15.25,9.03,26.65684831,218.73,1032.37,46.26,31.82,42.82,25.55,28.21638886,214.12,45,79,202,118,82,482
50,22.19,14.6,14.73,18.71,4.04,16.84013322,225.93,715.9,37.73,28.82,23.7,29.18,12.97429621,220.08,30,79,71,93,79,264
100,23.64,37.49,34.37,30.53,6.08,10.54790507,226.24,552.2,26.44,42.9,38.28,33.35,12.64297564,225.73,52,130,150,63,134,190
100,61.6,122.64,71.17,73.2,49.77,37.79259204,214.27,654.79,65.91,134.93,79.49,71.3,41.67366653,213.49,326,130,869,368,134,996
100,8.56,16.19,9.19,11.67,6.14,31.09311741,229.71,200.47,14.03,28.69,9.26,22.83,54.29417572,229.26,9,130,11,25,134,31
160,4.47,23.83,3.36,3.8,20.25,130.6873185,230.35,67.3,4.65,24.09,3.45,4.65,124.5107176,230.37,2,187,5,3,193,5
50,45.74,56.21,25.41,17.45,35.29,70.21298072,217.52,752.63,60.55,72.65,32.75,25.76,66.17108875,214.51,111,79,298,197,79,477
100,37.74,70.19,57.59,35.75,29.98,34.41570354,221.01,645.37,39.9,72.73,60.99,39.17,32.03192782,220.98,108,130,403,121,134,453
100,43.15,83.04,42.63,61.29,34.4,33.24775353,221,1024.05,47.28,88,49,67.88,28.85591566,220.95,173,130,322,216,130,402
50,19.98,29.47,9.45,4.35,22.93,104.3217009,218.32,721.43,19.98,29.47,9.45,4.35,104.3217009,218.32,23,79,158,23,79,158
400,2.03,14.07,7.69,13.38,6.02,34.348321,229.23,287.05,3.02,19.41,13.01,19.9,25.40137615,228.31,1,374,20,3,387,47
160,16.53,43.77,35.94,34.87,8.25,14.60115203,214.45,884.85,19.9,50.71,47.51,39.71,13.63010223,211.68,40,187,554,59,193,904
160,30.36,51.04,85.94,73.55,30.67,27.26927279,222.46,802.69,35.16,76.92,82.58,84.31,5.352528608,217.49,122,187,356,168,187,538
160,7.28,18.78,14.63,14.63,4.15,17.27726894,239.31,262.25,16.73,38.24,36.09,36.09,3.894222061,234.62,9,187,84,46,175,482
160,14.1,45.09,25.28,27.37,18.77,38.39779006,217.98,846.43,34.37,92.1,66.98,79.27,15.9219635,212.76,25,187,216,172,193,1076
160,30.17,88.93,57.49,62.74,28.98,27.55306942,222.52,343.74,30.17,88.93,57.49,62.74,27.55306942,222.52,142,187,428,142,187,428
160,35.69,106.95,77.02,63.51,38.13,29.64684015,221.87,668.17,49.02,152.66,103.01,84.36,34.68811575,215.82,156,187,596,298,193,1187
160,22.26,85.48,33.12,28.36,54.71,74.49646162,231.25,887.39,25.05,90.4,42.85,32.18,63.93640815,229.79,60,187,345,79,187,419
250,36.81,135.1,149.91,114,30.58,14.28786246,222.14,275.33,36.81,135.1,149.91,114,14.28786246,222.14,240,259,771,240,259,771
250,28.73,92.68,115.9,102.79,19.55,11.66779073,213.36,866.15,31.6,103.52,127.63,111.39,11.77964617,212.11,156,259,1595,194,259,1973
250,13.42,66.45,40.76,38.1,26.59,37.18945702,205.85,778.69,15.11,73.8,45.17,44.72,35.2556662,201.26,33,259,871,42,259,1208
50,32.62,32.5,28.43,9.7,21,58.79937704,226.55,528.7,35.02,37.03,28.05,10.78,57.36883733,224.52,47,79,86,55,79,114
50,42.22,30.65,27.24,33.55,5.5,10.62992126,227.74,396.21,54.85,39.49,36.18,43.14,8.930224729,225.9,87,79,43,155,79,106
250,8.09,36.45,30.12,21.04,13.4,27.95342997,229.23,178.39,8.39,40.91,29.3,20.62,35.12055488,228.9,12,259,23,13,259,30
50,25.11,12.79,21.67,19.91,8.13,29.42799338,229.83,107.9,26.42,15.18,21.63,20.41,20.4124432,229.81,37,79,13,40,82,14
50,32.48,27.44,16.12,26.78,10.97,31.24822292,225.52,601.04,37.71,33.91,19,28.76,30.20693033,226.41,54,79,95,80,79,108
50,36.11,72.69,0.92,0.91,71.77,192.6328502,230.47,510.08,40.2,78.16,2.4,2.4,182.6422372,230.07,71,79,314,92,79,358
50,36.04,32.44,32.04,13.57,18.55,47.84112748,221.76,1035.85,52.84,48.61,47.8,18.04,52.7129751,218.6,63,79,179,136,82,346
50,6.04,3.68,9,0.39,7.52,106.5799541,230.67,78.65,6.71,1.47,8.3,4.76,71.36958018,230.69,1,79,1,1,82,1
250,10.09,40.07,25.92,43.29,16.04,28.84333821,227.94,164.73,11.22,45.17,27.84,48.46,31.24228204,227.66,21,259,59,26,268,74
50,44.1,46.63,16.95,31.94,25.48,46.76507538,216.5,1073.06,44.1,46.63,16.95,31.94,46.76507538,216.5,99,79,307,99,79,307
100,39.6,70.25,57.98,43.36,22.93,24.19138644,209.79,984.33,44.81,85.81,61.49,46.88,32.57287053,206.03,124,130,854,160,134,1149
100,19.09,28.73,35.27,18.69,14.4,32.1925263,224.28,716.9,21.61,32.52,40.51,20.56,34.09552303,223.89,31,130,91,40,134,118
100,44.6,61.25,72.19,59.83,11.43,12.05567341,218.44,907.7,52.6,66.47,91.51,69.95,20.44487343,212.33,172,130,710,246,130,1119
100,57.05,97.68,80.38,69.17,24.61,18.5293047,221.34,646.12,67.76,120.05,84.44,89.22,22.62095264,218.65,298,130,670,417,130,1017
160,12.51,46.37,12.03,24.17,30.07,68.47523314,235.43,458.36,14.63,55.35,14.03,27.21,71.91220623,234.39,18,187,154,26,187,212
160,14.48,47.8,19.01,33.54,24.57,43.16890882,222.12,1401.76,18.13,58.5,30.32,36.86,39.64035646,217.53,28,187,225,45,187,355
160,7.4,25.52,14.88,10.9,13.06,49.23976608,226.67,608.7,9.76,31.68,18.21,17.71,40.59171598,223.45,7,187,67,14,187,163
160,21.2,45.84,62.53,38.6,21.22,27.63829353,224.21,587.18,22.68,47.83,50.23,59.16,12.88640122,224.9,59,187,317,69,193,344
160,23.77,68.89,61.96,33.92,31.9,38.24118468,220.76,888.69,31.55,92.37,77,49.38,32.27885714,216.34,69,187,498,120,193,892
160,17.87,46,48.03,29.8,16.92,27.80424776,221.53,891.16,20.07,49.33,53.43,36.37,21.57694243,219.55,34,187,249,43,187,303
160,46.3,150.93,90.28,79.97,66.12,40.97702223,217.58,902.75,50.62,166.66,100.94,83.56,42.37954209,215.06,325,187,964,398,193,1249
160,20.53,78.23,42.76,21.32,49.46,64.91462301,205.03,994.79,25.33,92.48,54.2,28.97,57.95046968,202.35,50,187,768,81,187,1139
160,21.88,75.28,65.66,10.75,59.39,78.73953458,213.38,785.3,24.18,86.69,68.62,12.35,77.90170583,214.3,61,187,662,74,193,759
160,41.79,127.76,95.34,66.75,52.51,32.23391409,221.9,284.86,43.36,131.6,99.15,70.01,31.26745578,221.5,256,187,533,280,193,602
160,43.62,108.44,78.08,101.61,27.49,18.70336307,235.83,242.81,47.25,116.9,85.74,109.5,17.59466906,235.58,239,187,286,279,193,326
160,24.64,66.06,47.5,57.24,15.88,16.56908665,212.43,1030.83,30.18,77.75,63.99,67.48,11.48551764,205.21,76,187,661,124,187,1335
160,38.23,117.74,66.41,81,44.61,33.21516123,213.13,773.48,39.12,125.61,62.97,82.74,38.88766033,211.41,179,187,803,190,187,927
100,65.55,127.54,102.01,54.6,63.31,42.35439029,220.32,531.21,68.58,132.05,109.21,56.06,43.43468317,220.49,450,130,593,495,134,641
100,54.25,84.53,87.94,62.65,23.65,20.06209595,227.81,187.85,56.75,85.09,93.56,67.29,17.91900464,227.53,299,130,202,334,134,234
100,23.04,31.88,39.89,28.05,10.43,19.88579443,229.64,159.73,23.04,31.88,39.89,28.05,19.88579443,229.64,48,130,34,48,130,34
100,70.53,126.45,115.25,64.04,56.48,37.16229476,222.69,937.92,74.89,137.32,114.96,72.39,33.11054301,221.81,369,130,435,422,134,466
100,9.87,14.35,14.05,14.33,0.29,1.357360168,228.92,585.22,17.78,25.7,25.65,25.66,0.116867939,227.3,12,130,55,44,134,197
100,5.38,14.97,4.24,4.09,10.8,92.74678112,229.35,99.33,6.38,16.89,5.48,5.28,83.25497288,229.23,3,130,15,5,121,17
160,22.56,55.35,57.31,43.75,12.32,16.08592801,223.45,422.31,27.08,62.29,69.28,56.18,10.70039947,221.33,71,187,349,100,193,605
160,2.8,2.44,14.54,2.44,12.09,124.6138002,228.27,362,3.53,6.17,12.11,6.16,48.6497545,229.05,1,187,22,2,187,16
160,2.14,4.46,4.72,5.68,1.12,14.67025572,228.47,896.43,3.33,5.81,8.31,8.95,24.4473342,228.51,1,187,11,1,175,20
160,28.63,107.2,42.65,48.67,61.57,61.99879105,221.66,664.13,33.63,120.11,52.66,60.43,54.51543739,220.45,102,187,478,144,193,688
160,41.73,100.73,64.79,110.08,41.06,29.47387518,211.95,860.27,45.18,105.87,69.67,122.94,29.97520772,210.21,221,187,1532,253,193,1763
160,37.56,77.97,87.58,94.91,14.67,10.1935038,224.26,435.48,41.15,81.86,94.21,109.28,14.89048537,223.84,143,187,247,174,193,308
160,45.25,148.48,103.38,62,74.09,41.92315045,211.7,1318.6,53.6,162.5,125.54,83.84,32.36527912,209.5,233,187,1599,335,187,2450
50,37.68,74.81,1.48,1.47,73.33,188.6188272,229.53,855.94,37.68,74.81,1.48,1.47,188.6188272,229.53,69,79,247,69,79,247
50,63.15,61.29,47.7,27.8,28.61,39.03063089,206.8,929.15,54.02,54.43,42.76,19.83,49.16253632,210.28,224,79,1254,153,82,880
160,34.31,54.66,98.46,84.81,37,31.08056992,205.07,774.91,36.56,59.63,104.93,88.94,29.43195266,204.3,157,187,1431,179,193,1585
160,34.81,67.26,79.21,94.89,23.56,17.94414982,223.68,347.02,39.15,75.25,90.06,106.17,17.32355975,222.86,153,187,467,200,193,612
160,27.75,86.71,63.4,42.25,38.26,35.23081722,224.9,462.19,27.97,87.95,62.61,43.34,36.07529654,225.34,115,187,260,121,193,266
160,37.75,92.13,91.19,66.01,25.07,20.57514138,233.85,547.33,40.3,101.13,95.71,69.36,21.83320811,234.16,183,187,362,216,187,396
160,31.72,94.45,75.52,49.95,38.24,31.86158603,224.07,841.65,33.39,98.17,79.04,54.3,29.63586886,224.02,116,187,331,128,193,355
160,37.18,118.24,57.17,82.42,51.85,37.57902494,205.86,735.4,41.33,136.83,60.41,89.44,43.18752616,204.08,156,187,1578,199,187,2028
160,36.71,88.77,100.3,65.48,30.53,22.82852092,227.05,276.66,40.08,98.46,108.62,70.86,23.51586673,226.62,172,187,259,205,193,313
250,2.54,4.19,18.03,5.24,13.34,96.9774217,229.66,160,3.8,5.08,25.16,10.95,83.24836125,229.62,2,259,8,3,259,13
250,2.73,18.2,4.08,7.24,12.83,84.95934959,229.61,304.18,2.94,20.17,3.44,8.25,89.92467043,228.25,2,259,8,2,268,23
250,4.45,16.39,15.34,16.45,1.08,4.483188045,227.16,563.98,7.78,28.65,27.27,28.35,2.919188323,228.48,5,259,86,14,268,71
250,39.94,191.76,130.25,111.05,72.25,32.84071491,220.54,372.92,40.24,194.85,131.52,109.92,33.98198446,220.3,352,259,1184,368,268,1244
250,12.64,50.32,56.43,30.13,23.61,33.96405611,228.52,227.09,12.64,50.32,56.43,30.13,33.96405611,228.52,23,259,83,23,259,83
250,9.54,50.08,20.38,32.83,25.82,45.45454545,229.91,221.11,11.8,63.88,25.15,38.77,49.95305164,229.78,17,259,22,25,268,33
50,21.08,18.56,13.89,13.19,5.06,21.99824715,230.15,108.17,25.75,23.52,16.85,15.39,26.54232425,230.06,26,79,13,38,82,17
50,72.22,89.16,32.44,34.86,55.31,70.95743321,219.01,381.85,87.13,106.89,39.71,42.2,69.84639831,216.13,297,79,381,425,82,571
50,14.77,16.14,14.06,1.79,13.4,83.21350422,226.61,531.32,15.17,12.85,18.81,1.2,89.04443092,227.45,12,79,44,12,74,39
50,6.9,10.45,2.24,2.25,8.2,109.8393574,229.67,143.56,8.65,11.89,3.42,3.43,90.34151547,229.54,2,79,8,4,82,10
100,20.1,28.04,25.19,33.84,7.63,16.59584243,227.39,879.88,22.82,32.71,26.17,39.99,21.34115505,226.84,38,130,72,51,134,95
100,7.23,2.66,2.5,26.16,23.57,150.5747126,229.99,162.55,10.62,7.74,9.03,29.25,90.6779661,229.84,5,130,6,11,134,9
100,35.41,84.06,14.97,47.09,58.34,72.58417739,219.69,754.37,35.41,84.06,14.97,47.09,72.58417739,219.69,102,130,1204,102,130,1204
100,42.27,56.68,57.06,69.41,12.49,13.69369369,226.35,505.35,44.39,58,61.85,72.5,13.07512347,225.92,181,130,185,198,134,204
100,4.13,13.23,2.33,2.34,10.89,121.7318436,230.61,37.6,4.46,14.45,2.42,2.42,124.7278383,230.59,2,130,2,2,134,2
160,19.39,42.67,48.68,43.03,5.84,8.676886441,224.9,917.17,24.96,54.68,64.94,53.38,12.61271676,222.18,45,187,175,82,187,313
50,49.75,59.91,22.03,25.83,35.88,66.77182889,221.3,791.84,74.47,84.9,40,36.45,57.85559343,215.8,132,79,301,313,82,687
50,29.72,45.94,3.41,15.03,37.69,114.0726934,218.63,579.15,29.72,45.94,3.41,15.03,114.0726934,218.63,46,79,306,46,79,306
50,26.97,54.94,0.35,0.35,54.6,196.2257369,228.24,537.12,34.3,68.76,1,1,191.5206331,223.74,41,79,260,71,79,437
50,43.12,46.92,28.07,18.4,24.99,50.72277546,221.69,759.98,79.6,66.59,58.29,47.57,17.24557843,207.03,93,79,193,373,82,907
50,48.33,42.75,31.23,30.69,11.83,22.52794497,221.67,922.7,51.98,46.46,32.71,33.42,23.7942979,221.37,124,79,208,142,82,249
50,14.84,12.23,9.95,9.95,2.28,14.1923436,230.13,613.03,21.48,17.25,14.63,14.63,11.26639432,229.15,13,79,4,30,79,15
50,37.9,21.97,25.91,30.29,7.15,16.24664193,238.1,514.25,54.73,34.33,38.99,39.59,8.785758569,237.71,92,79,112,202,82,201
50,44.56,27,25.1,44.4,18.19,38.03108808,216.07,995.6,49.91,29.55,27.1,51.45,42.78445883,215.23,93,79,356,120,79,430
50,48.96,54.63,17.78,33.64,31.73,54.54031117,218.36,946.89,59.49,63.61,23.11,42.15,48.07945992,214.04,132,79,381,208,79,611
50,15.55,12.73,10.5,10.43,2.26,13.45811052,230.62,49.09,17.95,14.06,13.37,11.43,11.76016469,230.63,15,79,5,17,79,6
50,16.92,14.18,14.57,7.9,6.47,35.33424284,230.52,136.38,18.46,14.54,15.67,9.77,26.68834417,230.52,12,79,4,14,82,5
50,9.41,6.8,6.79,6.79,0.01,0.098135427,230.62,151.67,15.69,11.33,11.33,11.33,0,230.16,5,79,4,16,82,16
50,48.11,40.72,17.85,45.64,25.79,48.61337684,212.5,688.25,60.04,52.45,23.35,54.26,46.14024296,210.04,124,79,549,193,82,799
50,39.13,56.47,12.75,15.54,42.36,99.8702218,228.33,373.28,43.34,60.16,16.51,17.2,92.26589965,228.42,87,79,44,107,82,55
50,41.99,41.82,39.98,9.16,31.41,69.78891821,217.56,972.6,45.15,42.69,45.35,9.75,70.08896615,217.05,89,79,372,103,82,441
50,87.04,160.97,19.13,8.62,146.88,155.8870284,201.74,884.41,90.17,167.23,19.53,8.75,156.6058002,202,424,79,1994,449,82,2078
50,10.21,15.6,2.73,2.73,12.86,122.2222222,238.58,599.45,10.21,15.6,2.73,2.73,122.2222222,238.58,6,79,20,6,79,20
50,12.25,18.12,3.57,3.57,14.53,115.2019002,237.71,650.76,15.61,21.04,5.57,5.59,96.02484472,235.26,9,79,27,16,79,58
50,34.11,45.18,12.57,12.6,32.56,92.6652452,235.14,1005.03,40.16,49.03,16.88,16.92,77.58058674,234.82,64,79,90,96,79,113
50,15.44,29.3,1.27,1.27,28.03,176.0678392,240.32,571.93,16.43,31.29,1.3,1.3,176.9843612,240.09,12,79,18,13,79,21
50,12.19,24.45,0.35,0.35,24.1,191.6500994,237.42,753.01,14.39,28.85,0.42,0.42,191.5122937,236.71,8,79,33,11,82,48
50,15.97,20.09,3.45,11.04,14.32,74.29149798,223.94,1130.92,21.71,23.41,8.36,15.23,49.42553191,222.78,14,79,71,24,82,112
160,6.66,29.09,14.06,2.98,22.65,89.18274442,229.08,103.45,6.66,29.09,14.06,2.98,89.18274442,229.08,6,187,29,6,187,29
160,34.51,116.01,81.76,41.54,64.29,47.92528519,216.65,724.57,35.02,119.93,81.4,41.53,48.69883884,214.86,152,187,793,157,193,852
160,7.86,23.03,20.75,10.7,11.2,41.07929515,217.74,1448.16,13.18,39.1,30.82,21.4,29.6977661,210.65,7,187,240,23,193,714
160,6.49,34.56,5.2,5.22,29.34,130.5024455,225.71,739.62,10.39,43.99,14.01,14.04,83.1898945,225.46,6,187,64,16,187,115
160,6.82,28.42,9.42,9.44,18.92,80.32994924,226.13,815.68,11.76,38.09,21.69,21.71,40.22579458,225.87,6,187,51,16,193,112
160,12.82,59.7,27.14,2.01,49.43,101.5756894,212.87,940.77,15.03,65.55,35.65,2.97,91.44667371,212.32,19,187,469,26,187,651
160,39.29,114.81,66.7,90.94,41.45,26.55533125,208.71,644.98,39.98,118.84,69.86,88.59,28.57297414,210.35,210,187,1139,222,187,1108
160,10.38,33.57,17.09,17.84,16.16,47.02189781,235.29,616.35,10.7,32.29,18.16,20.19,37.13193658,234.97,10,187,76,11,193,89
160,22.61,64.36,61.06,23.88,38.65,52.01607502,225.95,1106.6,25.35,66.19,70.34,30.86,44.69203656,223.14,53,187,499,64,187,586
50,50.11,39.91,37.11,31.52,7.23,12.88004422,227.82,254.88,58.98,44.25,49.01,34.49,19.00587084,227.47,122,79,87,165,82,126
100,18.65,33,43.13,4.63,34.19,82.80089153,221.96,655.53,19.4,36.46,42.27,5.3,81.07818636,222.69,26,130,192,28,130,202
100,44.76,75.65,37.32,71.75,34.73,39.38934604,217.52,793.12,53.58,86.47,47.44,87.22,35.63966897,216.48,165,130,1432,239,130,1863
100,37.66,78.07,48.37,36.74,36.95,43.5286187,223.56,502.72,38.23,78.65,49.52,37.47,42.44747645,223.54,105,130,222,109,134,237
100,21.37,35.08,30.7,26.8,7.17,13.67465975,228.35,264.55,23.63,40.87,31.76,29.74,19.77141741,228.13,46,130,83,55,134,104
160,20.98,39.4,51.26,54.75,13.69,18.71260574,214.06,998.49,29.29,59.19,71.7,72.18,12.55724627,210.11,64,187,886,129,187,1553
160,29.79,57.46,91.16,57.9,32.71,32.42300988,212.88,791.23,33.73,66.41,102.02,65.48,30.84519687,210.71,97,187,601,125,193,793
160,28.47,82.98,45.65,68.79,31.9,30.63012866,209.15,865.96,32.36,95.66,55.4,73.3,27.91050098,207.21,104,187,1364,133,193,1651
160,15.85,28.96,40.45,35.2,9.9,16.94866648,237.43,798.62,18.12,36.44,41.05,42.12,8.602959619,237.06,28,187,121,37,187,143
160,30.78,102.56,65.18,45.71,49.6,44.14617006,215.61,707.28,31,101.78,65.16,47.98,42.07146845,216.22,104,187,610,106,193,597
160,22.69,73.21,48.88,35.22,33.29,39.61604475,215.11,367.9,23.94,81.93,49.13,34.9,48.10195228,213.74,84,187,406,94,193,502
250,32.78,162.06,100.56,92.69,65.41,36.83262503,223.74,481.36,33.85,169.94,104.04,92.93,38.94960617,223.39,172,259,726,183,268,792
160,21.16,53.65,51.95,41.11,11.79,15.93620067,226.2,965.73,21.16,53.65,51.95,41.11,15.93620067,226.2,44,187,122,44,187,122
160,7.55,24.35,18.46,9.51,12.89,45.47018349,229.55,174.67,8.07,25.64,18.71,11.56,37.9717403,229.5,7,187,21,8,193,23
160,67.74,156.62,188.68,124.79,52.96,20.41098513,203.08,695.1,74.38,170.8,210.2,135.27,22.14538904,200.5,632,187,2525,767,193,3051
100,9.57,11.56,14.21,15.68,3.62,16.33293124,229.1,1003.35,10.8,11.66,16.83,18.27,25.1924722,228.06,9,130,12,12,130,17
100,49.25,97.39,52.84,63.2,39,36.89265801,200.27,1112.6,49.27,97.47,52.84,63.2,36.95377266,200.27,227,130,1656,227,130,1658
100,34.14,85.26,28.73,33.94,53.81,72.90610424,215.9,826.47,37.61,97.19,29.57,36.2,78.92120766,216.45,100,130,475,118,134,559
50,47.28,40.02,35.72,26.65,11.75,21.91620275,225.39,537.47,47.28,40.02,35.72,26.65,21.91620275,225.39,120,79,228,120,79,228
100,36.55,69.74,48.68,39.96,26.42,32.10001263,215.5,639.16,36.55,69.74,48.68,39.96,32.10001263,215.5,123,130,346,123,130,346
100,37.64,58.65,69.06,35.35,29.55,34.96259046,223.95,639.29,37.64,58.65,69.06,35.35,34.96259046,223.95,133,130,270,133,130,270
160,28.46,99.04,46.62,51.7,49.84,50.54722335,224.18,353.98,29.27,102.23,47.23,53.51,51.10114795,223.84,117,187,194,126,193,212
160,24.03,71.02,42.41,53.18,25.07,27.87947902,227.84,345.93,25.89,72.82,52.84,53.84,21.70473538,227.67,74,187,160,84,193,182
160,59.84,134.51,160.05,120.63,34.3,15.64584889,223.15,317.83,60.42,138.94,161.53,118.76,15.59048732,223.17,446,187,784,452,193,820
50,40.6,80.69,1.35,1.75,79.11,188.9008235,230.3,700.4,49.01,96.51,2,2.64,186.23826,227.25,82,79,288,124,79,414
50,64.41,67.87,33.14,38.5,32.17,45.94652713,218.28,776.35,78.95,79.23,45.64,46.19,38.95124518,215.29,229,79,406,348,79,638
50,33.55,41.51,8.21,22.93,28.64,71.41087405,222.48,706,49.86,55.03,19.1,33.87,52.86111111,218.28,68,79,212,163,82,434
50,61.08,38.2,42.48,51.62,11.69,17.0521542,220.28,735.73,68.57,44.15,43.84,60.55,22.29029218,216.71,213,79,379,281,79,555
50,18.15,15.67,7.44,16.18,8.47,43.19165182,227.63,550.91,19.44,15.86,8.59,17.65,38.78859857,226.92,17,79,50,20,79,62
50,15.78,9.96,8.94,15.28,5.89,34.11351668,228.06,764.53,19.56,6.23,6.26,29.86,111.5230224,227.06,14,79,21,22,79,59
50,41.38,31.78,42.86,15,23.94,49.79919679,222.84,663.22,51.6,41.26,53.99,16.52,55.65894247,221.15,84,79,162,132,79,262
50,35.73,55.21,21.23,0.95,47.18,114.0198992,218.27,1366.51,41.42,63.6,24.81,1.32,112.6379137,214.96,64,79,266,89,79,433
50,33.7,46.01,20.5,6.49,34.65,89.08219178,225.85,558.18,39.01,47.93,27.71,8.84,70.20596591,224.76,51,79,81,80,82,148
160,31.28,74.9,58.68,83.3,21.39,18.83068978,214.78,854.01,39.96,96.87,82.27,97.95,10.92785737,209.46,121,187,939,208,187,1519
100,60.08,124.52,87.89,48.03,65.4,44.67439717,210.9,1210.94,64.72,135.01,92.53,53,44.37513367,210.02,392,130,1442,462,134,1778
50,19.94,25.28,7.79,10.13,16.32,75.55555556,219.5,896.4,27.37,36.69,8.88,13.69,85.74080324,218.39,21,79,150,41,79,228
50,6.32,6.76,5.34,1.59,4.63,65.15704894,229.85,305.68,8.47,8,7.78,2.55,58.26513912,230.06,2,79,3,4,79,4
50,12.74,0.86,5.86,20.87,18.03,126.9300471,229.26,489.53,14.25,10.84,4.7,15.32,54.30978613,229.54,8,79,14,9,82,13
50,24.16,31.01,10.07,11.23,20.38,77.84362455,220.08,887.01,30.23,35.27,14.19,16.01,61.61600733,221.37,32,79,90,57,82,87
50,23.67,43.58,2.63,2.62,40.9,167.7452386,229.07,1101.08,27.96,49.97,3.85,3.86,159.8994452,228.12,30,79,208,43,82,256
50,15.12,16.08,6.51,8.6,8.72,54.66495672,240.19,950.01,19.34,20.04,9.31,10.53,50.75225677,239.19,11,79,29,18,79,55
100,20.57,34,30.03,25.06,7.71,15.61342463,223.76,831.97,21.49,35.36,33.89,23.82,23.21908241,222.78,46,130,208,48,134,217
100,3.62,3.93,3.58,8.17,4.43,56.31377551,230.35,293.88,5.98,7.91,7.15,10.84,25.55984556,229.52,1,130,3,4,134,17
100,47.13,89.06,63.59,51.56,32.81,30.83590422,215.32,859.03,50.3,103.1,59.94,54.95,41.88724253,212.92,181,130,819,204,134,996
100,30.72,61.48,28.99,36.28,29.42,45.5147929,239.34,330.16,31.5,64.41,30.1,35.47,48.66133251,238.87,90,130,86,94,134,101
100,54.18,101.02,60.74,73.05,35.15,29.0660534,218.34,678.52,61.04,115.78,67.2,81.57,31.29465129,216.47,259,130,461,329,134,591
100,52.81,105.95,64.11,58.79,44.02,38.89010269,207.5,837.12,52.81,105.95,64.11,58.79,38.89010269,207.5,245,130,1202,245,130,1202
160,25.72,67.32,54.13,56.87,11.87,13.25706595,218.51,931.39,29.4,76.15,60.33,67.32,12.09519136,217.12,80,187,593,104,193,787
160,27.11,54.46,105.98,27.51,68,69.16201117,220.18,208.71,27.79,57.38,106.2,29.14,65.31755915,220.6,73,187,526,77,193,536
250,33.05,131.62,102.73,123.92,25.37,13.97828453,212.68,570.29,35.9,141.57,111.82,135.81,13.80781089,212.86,169,259,862,199,268,966
160,36.03,104.83,88.98,56.03,42.06,32.7209414,220.05,388.62,38.31,112.46,91.62,61.57,30.46866177,219.36,140,187,809,159,193,876
160,59.85,207.98,120.17,87.15,106.03,50.23838189,206.65,445.12,62.51,218.89,125.08,89.88,51.35876455,205.17,473,187,1981,520,193,2271
160,17.74,54.59,35.24,33.13,20.47,33.18965517,230.29,80.98,19.13,56.08,39.6,36.93,26.86826031,230.34,29,187,12,34,193,14
160,19.9,67.27,41.77,28.88,33.46,46.32395592,218,643.73,24.6,82.58,50.64,37.34,45.25093809,215.93,43,187,484,65,193,695
160,12.4,33.64,27.73,24.57,7.93,17.43076565,224.83,964.69,19.3,42.91,43.03,47.81,7.237383178,224.8,17,187,126,45,187,225
160,27.62,87.96,43.66,59.88,38.59,37.79634465,210.78,878.01,27.62,87.96,43.66,59.88,37.79634465,210.78,96,187,1255,96,187,1255
250,43.45,255.38,116.83,99.07,146.38,62.56577831,201.73,824.66,43.34,242.61,122.09,105.31,54.85415204,205.71,322,259,2238,312,268,2012
250,28.5,173.69,72.77,62.49,105.77,68.65835896,210.93,722.73,29.08,174.71,78.4,62.12,66.26907337,213.75,137,259,1441,138,268,1301
250,26.1,88.44,107.35,87.04,19.33,13.86698724,216.83,576.74,26.1,88.44,107.35,87.04,13.86698724,216.83,152,259,862,152,259,862
250,21.91,93.81,87.87,55.68,34.84,29.62588473,217.64,716.29,21.91,93.81,87.87,55.68,29.62588473,217.64,79,259,728,79,259,728
250,7.12,13.21,32.5,31.35,18.64,48.57254088,225.04,407.15,9.71,17.54,46.17,41.48,49.97623348,223.82,10,259,103,18,268,166
50,5.95,0.54,0.54,11.18,10.63,173.5725938,236.2,818.31,7.1,1.21,1.21,12.23,150.443686,236.21,1,79,31,2,79,32
50,28.11,32.55,12.13,16.18,18.7,60.4502136,226.92,421.31,38.63,44.5,16.78,22.39,59.5553962,225.68,41,79,70,78,82,130
100,30.92,39.13,29.16,59.3,26.48,39.43098989,234.52,435.06,31.22,40.15,29.36,59.31,38.12296227,234.61,92,130,324,94,130,288
