KVA,Load_percent,Ia,Ib,Ic,In,UB_percent,Min_V,Max_dis,Load_peak,Ia_PEAK,Ib_PEAK,Ic_PEAK,UB_PEAK_percent,Min_V_peak,Copper_Loss,Core_Loss,Line_Loss,Copper_Loss_PEAK,Core_Loss_PEAK,Line_Loss_PEAK
100,4.22,9.88,5.22,3.2,5.93,61.96721311,227.77,555.92,5.06,13.14,5.28,3.48,80,225.87,2,130,15,3,130,30
100,15.83,32.61,27.14,5.56,24.71,74.46026642,239.64,372.95,18.13,34.61,32.74,7.44,70.15643803,239.16,20,130,44,27,130,56
100,25.38,22.7,56.45,25.58,32.22,61.70151819,227.82,970.76,27.17,22.51,63.02,26.58,68.63794488,225.46,59,130,335,68,134,414
100,57.05,76.47,74.27,96.52,21.04,17.10749818,199.03,1129.97,60.02,82.21,80.19,97.74,12.71622972,202.24,292,130,1419,326,130,1472
100,7.97,13.15,13.25,8.12,5.08,29.43221321,230.7,56.48,8.25,15.41,11.74,8.58,29.38706969,230.69,4,130,3,4,134,3
160,7.87,17.28,21.66,15.61,5.4,19.12007333,229.53,211.01,9.21,19.62,26.39,17.82,24.03258656,229.1,7,187,18,11,187,29
100,4.53,9.73,7.22,1.72,7.1,72.3620782,241.58,266.32,5.74,10.94,8.72,4.01,49.17617237,241.58,2,130,6,3,130,6
50,12.25,21.89,1.68,1.68,20.2,160.0792079,240.48,325.64,19.44,33.6,3.25,3.25,151.3715711,239.74,9,79,14,25,79,33
100,38.31,112.7,23.78,29.55,85.87,103.6378968,214.62,604.29,54.2,125.45,56.95,52.5,60.21711367,202.96,124,130,947,274,134,2565
100,37.76,65.88,75.01,22.73,47.81,58.32416575,212.67,1164.09,41.96,72.14,81.98,27.72,54.2674879,209.04,121,130,833,157,130,1078
100,53.36,97.19,99.2,34.87,60.7,54.76519934,205.46,1107.39,61.65,110.65,112.52,44.07,50.52761563,200.45,233,130,1545,322,130,2090
160,16.12,30.58,42.58,38.55,10.65,17.87664488,220.64,636.77,23.87,52.16,58.09,55.21,5.427293606,217.86,31,187,440,75,187,829
100,34.38,86.62,29.36,32.98,55.25,74.44951665,210.85,1311.9,40.46,100.16,33.05,42.14,71.36013687,209.44,104,130,840,146,134,1097
160,78.15,201.42,180.55,160.53,34.91,11.3843318,206.35,620.13,84.41,209.59,194.53,181.89,7.296803809,206.83,710,187,3074,839,193,3703
160,58.96,167.22,129.39,112.48,48.13,22.62827251,221.06,830.52,62.47,180.14,137.36,115.97,24.67298775,220.18,480,187,967,543,193,1103
100,13.61,24.72,20.61,13.6,9.72,30.76531478,229.5,126.43,15.66,29.5,21.93,16.38,30.51172393,229.22,18,130,25,23,134,34
160,9.12,31.84,18.45,12.94,16.75,51.06753124,228.8,180.81,9.94,34.04,20.96,13.9,48.21480406,228.57,11,187,41,13,193,49
160,22.17,93.67,31.58,28.48,63.59,82.79450985,219.32,471.87,22.4,87.2,32.61,35.51,68.42647438,220.46,64,187,354,66,187,330
160,20.03,72.18,35.77,30.89,39.09,55.96369922,217.25,730.88,21.18,77.6,37.58,31.64,58.56150388,216.59,47,187,426,52,193,481
100,42.77,64.87,47.32,73.12,22.32,23.39323296,204.5,807.36,50.26,76.63,54.3,86.88,25.21004545,200.79,170,130,1611,232,134,2250
100,13.37,16.6,10.06,31.23,18.71,61.84142339,219.3,842.65,19.03,25.4,16.24,40.78,48.43484591,217.02,14,130,166,35,134,257
50,56.65,113.4,1.78,1.77,111.6,190.8935442,216.84,1277.58,62.01,124.69,1.68,1.67,192.1508903,215.16,161,79,1078,184,82,1277
50,10.83,20.86,0.74,0.74,20.12,180.1253357,240.1,493.91,15.16,27.83,1.72,1.72,166.9971218,238.92,7,79,18,15,79,34
250,6.83,16.34,32.82,24.78,14.21,33.70300243,226.33,794.89,10.75,26.14,49.61,40.67,32.64043979,219.96,8,259,56,22,259,255
